dt pearson_chi2 astro_chi2 relative_chi2 time-points calculation-time
1000000000 95105.3780737 138718.948799 69.2901842152 15 4.28852
2000000000 284528.123437 289105.582602 144.408382918 8 3.278848
7000000000 5389263.38859 1078368.2227 538.645465885 3 2.742653
100000000 13036.3560518 40777.2718985 20.3682676816 141 71.956115
200000000 14747.5331433 44212.8744547 22.0843528745 71 22.610226
400000000 18114.5314436 51487.3971729 25.7179806059 36 9.113087
500000000 25770.5339697 65573.7371372 32.7541144541 29 7.149907
700000000 48982.7539489 94657.7318298 47.2815843306 21 5.364475
20000000 9701.36360401 30435.1407081 15.202367986 701 1780.71397
40000000 9892.32400061 31076.647114 15.5228007563 351 439.485309
50000000 10838.8603478 34188.617236 17.0772313866 281 281.900739
70000000 10932.7809171 34871.6299439 17.4183965754 201 144.191232
80000000 10639.1166006 32523.1119065 16.2453106426 176 109.674093
