n pearson_chi2 astro_chi2 relative_chi2 time-points calculation-time
5 46334.6756031 68331.9426423 68.1955515392 6 3.091419
10 31476.8403712 57135.4496395 57.0214068258 11 3.765996
20 28413.0354597 53503.6467828 53.3968530766 21 5.389326
30 27057.4372146 52483.4407616 52.3786833948 31 7.805491
40 26910.3251884 52001.6795446 51.8978837771 41 10.764661
50 26783.3153841 51722.6198356 51.6193810735 51 14.308202
100 26405.383768 51193.8642249 51.0916808632 101 41.880186
150 26306.1319431 51012.2409561 50.9104201159 151 85.86891
200 26277.6450927 50914.6894297 50.8130633031 201 146.740621
500 26453.8829435 51110.6177668 51.0086005656 501 928.735342
