,maximum,mean,mean+sigma,mean-sigma,minimum,time
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,28000000.0
2,0.0,0.0,0.0,0.0,0.0,56000000.0
3,0.0,0.0,0.0,0.0,0.0,84000000.0
4,0.0,0.0,0.0,0.0,0.0,112000000.0
5,0.0,0.0,0.0,0.0,0.0,140000000.0
6,0.0,0.0,0.0,0.0,0.0,168000000.0
7,0.0,0.0,0.0,0.0,0.0,196000000.0
8,0.0,0.0,0.0,0.0,0.0,224000000.0
9,0.0,0.0,0.0,0.0,0.0,252000000.0
10,0.0,0.0,0.0,0.0,0.0,280000000.0
11,0.0,0.0,0.0,0.0,0.0,308000000.0
12,0.0,0.0,0.0,0.0,0.0,336000000.0
13,0.0,0.0,0.0,0.0,0.0,364000000.0
14,1.48408545717e-08,1.19493900557e-08,1.27799797547e-08,1.11188003566e-08,8.96165272278e-09,392000000.0
15,4.47605951114e-08,3.60398255724e-08,3.85449164379e-08,3.3534734707e-08,2.70286934701e-08,420000000.0
16,8.33164039101e-08,6.70837520539e-08,7.17466740249e-08,6.2420830083e-08,5.03106256007e-08,448000000.0
17,2.17155319741e-07,1.74846644154e-07,1.87000052895e-07,1.62693235414e-07,1.31129279181e-07,476000000.0
18,3.59845451719e-07,2.89736257543e-07,3.09875524053e-07,2.69596991033e-07,2.17292741236e-07,504000000.0
19,5.31935604736e-07,4.28297844627e-07,4.58068383225e-07,3.98527306029e-07,3.21209411324e-07,532000000.0
20,8.13392775083e-07,6.54918319627e-07,7.00441012205e-07,6.09395627049e-07,4.91167374647e-07,560000000.0
21,1.23756095002e-06,9.9644521399e-07,1.06570708648e-06,9.27183341496e-07,7.47301403958e-07,588000000.0
22,1.70409603572e-06,1.37208461445e-06,1.46745679175e-06,1.27671243715e-06,1.02901870001e-06,616000000.0
23,2.21374064035e-06,1.78243444579e-06,1.90632961391e-06,1.65853927767e-06,1.33676768687e-06,644000000.0
24,2.86481287874e-06,2.30665736661e-06,2.4669907258e-06,2.14632400741e-06,1.72991777602e-06,672000000.0
25,3.72103072184e-06,2.99605708617e-06,3.20430990426e-06,2.78780426808e-06,2.24694507576e-06,700000000.0
26,4.60371880153e-06,3.706769809e-06,3.96442353071e-06,3.44911608728e-06,2.77995643265e-06,728000000.0
27,5.60313956475e-06,4.51147202286e-06,4.82505976016e-06,4.19788428555e-06,3.38345684164e-06,756000000.0
28,7.18985542513e-06,5.7890458062e-06,6.19143637104e-06,5.38665524136e-06,4.3415955015e-06,784000000.0
29,9.10916461029e-06,7.33441329026e-06,7.8442207448e-06,6.82460583573e-06,5.5005707008e-06,812000000.0
30,1.11344664047e-05,8.9651226948e-06,9.58827906733e-06,8.34196632227e-06,6.72354955638e-06,840000000.0
31,1.32847978654e-05,1.06965020604e-05,1.14400048154e-05,9.95299930535e-06,8.02202759863e-06,868000000.0
32,1.60339534523e-05,1.29100358076e-05,1.38073989957e-05,1.20126726195e-05,9.68210569806e-06,896000000.0
33,1.93326916242e-05,1.55660761938e-05,1.66480579921e-05,1.44840943955e-05,1.1674049341e-05,924000000.0
34,2.32340856779e-05,1.87073561708e-05,2.00076850796e-05,1.7407027262e-05,1.40299068473e-05,952000000.0
35,2.7512405773e-05,2.21521251598e-05,2.36918963853e-05,2.06123539343e-05,1.66133712121e-05,980000000.0
