,maximum,mean,mean+sigma,mean-sigma,minimum,time
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,28000000.0
2,0.0,0.0,0.0,0.0,0.0,56000000.0
3,0.0,0.0,0.0,0.0,0.0,84000000.0
4,0.0,0.0,0.0,0.0,0.0,112000000.0
5,0.0,0.0,0.0,0.0,0.0,140000000.0
6,0.0,0.0,0.0,0.0,0.0,168000000.0
7,0.0,0.0,0.0,0.0,0.0,196000000.0
8,0.0,0.0,0.0,0.0,0.0,224000000.0
9,0.0,0.0,0.0,0.0,0.0,252000000.0
10,0.0,0.0,0.0,0.0,0.0,280000000.0
11,0.0,0.0,0.0,0.0,0.0,308000000.0
12,0.0,0.0,0.0,0.0,0.0,336000000.0
13,0.0,0.0,0.0,0.0,0.0,364000000.0
14,0.000272193240703,0.000130618201752,0.000154870349992,0.000106366053512,6.4043137806e-05,392000000.0
15,0.000228254376101,0.000151461138762,0.000164616006948,0.000138306270577,0.000115349443337,420000000.0
16,0.000311814040412,0.000256353597061,0.000265854105792,0.000246853088331,0.000230273557883,448000000.0
17,0.000502938643181,0.00042487721141,0.000438249324384,0.000411505098436,0.000388169152911,476000000.0
18,0.000552103775052,0.000484073139603,0.000495726952789,0.000472419326417,0.000452082020697,504000000.0
19,0.000557712436876,0.000504944039484,0.000513983394199,0.000495904684768,0.000480129923544,532000000.0
20,0.000748234096992,0.000691256584137,0.00070101697056,0.000681496197713,0.000664463149433,560000000.0
21,0.000912504209204,0.000849401051921,0.000860210776122,0.00083859132772,0.000819727058805,588000000.0
22,0.000985938765079,0.000925027219645,0.000935461515411,0.00091459292388,0.000896383822742,616000000.0
23,0.00107762313044,0.00101958384074,0.00102952611212,0.00100964156937,0.000992291109965,644000000.0
24,0.00122529789245,0.0011662532805,0.00117636776602,0.00115613879497,0.00113848780117,672000000.0
25,0.00138670010713,0.00132441535968,0.00133508488829,0.00131374583107,0.00129512622033,700000000.0
26,0.00149678855107,0.00143488754908,0.00144549134116,0.00142428375701,0.00140577886442,728000000.0
27,0.00160254018153,0.00154128034129,0.0015517743008,0.00153078638177,0.00151247316022,756000000.0
28,0.00176911276128,0.0017023863352,0.00171381673416,0.00169095593625,0.00167100851525,784000000.0
29,0.0018241041879,0.00175561565982,0.00176734791113,0.00174388340851,0.00172340921884,812000000.0
30,0.00175563844255,0.00169178079166,0.00170271976245,0.00168084182087,0.00166175200112,840000000.0
31,0.00179410584628,0.00173274172484,0.00174325354797,0.0017222299017,0.00170388550598,868000000.0
32,0.00194573347274,0.00188215927588,0.0018930496903,0.00187126886145,0.00185226377839,896000000.0
33,0.00215315901362,0.00208493236262,0.00209661975375,0.0020732449715,0.00205284906823,924000000.0
34,0.00235860365518,0.00228500990283,0.00229761669146,0.0022724031142,0.0022504027517,952000000.0
35,0.00253329488763,0.00245536552556,0.00246871501467,0.00244201603645,0.00241871957229,980000000.0
36,0.00268146248249,0.0025987306665,0.00261290282764,0.00258455850535,0.00255982637955,1008000000.0
37,0.00282435344236,0.00273513358221,0.00275041716109,0.00271985000334,0.00269317831991,1036000000.0
38,0.0029367942206,0.00283998109962,0.00285656542253,0.00282339677672,0.00279445513849,1064000000.0
39,0.0030439847584,0.0029353865435,0.00295398968164,0.00291678340536,0.00288431869175,1092000000.0
