,maximum,mean,mean+sigma,mean-sigma,minimum,time
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,28000000.0
2,0.0,0.0,0.0,0.0,0.0,56000000.0
3,0.0,0.0,0.0,0.0,0.0,84000000.0
4,0.0,0.0,0.0,0.0,0.0,112000000.0
5,0.0,0.0,0.0,0.0,0.0,140000000.0
6,0.0,0.0,0.0,0.0,0.0,168000000.0
7,0.0,0.0,0.0,0.0,0.0,196000000.0
8,0.0,0.0,0.0,0.0,0.0,224000000.0
9,0.0,0.0,0.0,0.0,0.0,252000000.0
10,0.0,0.0,0.0,0.0,0.0,280000000.0
11,0.0,0.0,0.0,0.0,0.0,308000000.0
12,0.0,0.0,0.0,0.0,0.0,336000000.0
13,0.0,0.0,0.0,0.0,0.0,364000000.0
14,0.0,0.0,0.0,0.0,0.0,392000000.0
15,0.0,0.0,0.0,0.0,0.0,420000000.0
16,0.0,0.0,0.0,0.0,0.0,448000000.0
17,0.0,0.0,0.0,0.0,0.0,476000000.0
18,0.0,0.0,0.0,0.0,0.0,504000000.0
19,0.0,0.0,0.0,0.0,0.0,532000000.0
20,0.0,0.0,0.0,0.0,0.0,560000000.0
21,0.0,0.0,0.0,0.0,0.0,588000000.0
22,0.0,0.0,0.0,0.0,0.0,616000000.0
23,0.0,0.0,0.0,0.0,0.0,644000000.0
24,0.0,0.0,0.0,0.0,0.0,672000000.0
25,0.0,0.0,0.0,0.0,0.0,700000000.0
26,0.0,0.0,0.0,0.0,0.0,728000000.0
27,0.0,0.0,0.0,0.0,0.0,756000000.0
28,0.0,0.0,0.0,0.0,0.0,784000000.0
29,0.0,0.0,0.0,0.0,0.0,812000000.0
30,0.0,0.0,0.0,0.0,0.0,840000000.0
31,0.0,0.0,0.0,0.0,0.0,868000000.0
32,0.0,0.0,0.0,0.0,0.0,896000000.0
33,0.0,0.0,0.0,0.0,0.0,924000000.0
34,0.0,0.0,0.0,0.0,0.0,952000000.0
35,0.0,0.0,0.0,0.0,0.0,980000000.0
36,0.0,0.0,0.0,0.0,0.0,1008000000.0
37,0.0,0.0,0.0,0.0,0.0,1036000000.0
38,0.0,0.0,0.0,0.0,0.0,1064000000.0
39,0.0,0.0,0.0,0.0,0.0,1092000000.0
40,0.0,0.0,0.0,0.0,0.0,1120000000.0
41,0.0,0.0,0.0,0.0,0.0,1148000000.0
42,0.0,0.0,0.0,0.0,0.0,1176000000.0
43,0.0,0.0,0.0,0.0,0.0,1204000000.0
44,0.0,0.0,0.0,0.0,0.0,1232000000.0
45,0.0,0.0,0.0,0.0,0.0,1260000000.0
46,0.0,0.0,0.0,0.0,0.0,1288000000.0
47,0.0,0.0,0.0,0.0,0.0,1316000000.0
48,0.0,0.0,0.0,0.0,0.0,1344000000.0
49,0.0,0.0,0.0,0.0,0.0,1372000000.0
50,0.0,0.0,0.0,0.0,0.0,1400000000.0
51,0.0,0.0,0.0,0.0,0.0,1428000000.0
52,0.0,0.0,0.0,0.0,0.0,1456000000.0
53,0.0,0.0,0.0,0.0,0.0,1484000000.0
54,0.0,0.0,0.0,0.0,0.0,1512000000.0
55,0.0,0.0,0.0,0.0,0.0,1540000000.0
56,0.0,0.0,0.0,0.0,0.0,1568000000.0
57,0.0,0.0,0.0,0.0,0.0,1596000000.0
58,0.0,0.0,0.0,0.0,0.0,1624000000.0
