,maximum,mean,mean+sigma,mean-sigma,minimum,time
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,28000000.0
2,0.0,0.0,0.0,0.0,0.0,56000000.0
3,0.0,0.0,0.0,0.0,0.0,84000000.0
4,0.0,0.0,0.0,0.0,0.0,112000000.0
5,0.0,0.0,0.0,0.0,0.0,140000000.0
6,0.0,0.0,0.0,0.0,0.0,168000000.0
7,0.0,0.0,0.0,0.0,0.0,196000000.0
8,0.0,0.0,0.0,0.0,0.0,224000000.0
9,0.0,0.0,0.0,0.0,0.0,252000000.0
10,0.0,0.0,0.0,0.0,0.0,280000000.0
11,0.0,0.0,0.0,0.0,0.0,308000000.0
12,0.0,0.0,0.0,0.0,0.0,336000000.0
13,0.0,0.0,0.0,0.0,0.0,364000000.0
14,0.722856961313,0.722856961313,0.722856961313,0.722856961313,0.722856961313,392000000.0
15,3.29773561901,3.29773561901,3.29773561901,3.29773561901,3.29773561901,420000000.0
16,6.34427455481,6.34427455481,6.34427455481,6.34427455481,6.34427455481,448000000.0
17,8.84056914082,8.84056914082,8.84056914082,8.84056914082,8.84056914082,476000000.0
18,17.3122714078,17.3122714078,17.3122714078,17.3122714078,17.3122714078,504000000.0
19,33.0834561009,33.0834561009,33.0834561009,33.0834561009,33.0834561009,532000000.0
20,29.0497178359,29.0497178359,29.0497178359,29.0497178359,29.0497178359,560000000.0
21,36.983416589,36.983416589,36.983416589,36.983416589,36.983416589,588000000.0
22,57.9130971515,57.9130971515,57.9130971515,57.9130971515,57.9130971515,616000000.0
23,70.4080284277,70.4080284277,70.4080284277,70.4080284277,70.4080284277,644000000.0
24,72.1271604086,72.1271604086,72.1271604086,72.1271604086,72.1271604086,672000000.0
25,78.3322095849,78.3322095849,78.3322095849,78.3322095849,78.3322095849,700000000.0
26,101.639901151,101.639901151,101.639901151,101.639901151,101.639901151,728000000.0
27,119.278826065,119.278826065,119.278826065,119.278826065,119.278826065,756000000.0
28,116.743011594,116.743011594,116.743011594,116.743011594,116.743011594,784000000.0
29,178.294381636,178.294381636,178.294381636,178.294381636,178.294381636,812000000.0
30,288.596261966,288.596261966,288.596261966,288.596261966,288.596261966,840000000.0
31,293.642356394,293.642356394,293.642356394,293.642356394,293.642356394,868000000.0
32,251.368041292,251.368041292,251.368041292,251.368041292,251.368041292,896000000.0
33,221.94059089,221.94059089,221.94059089,221.94059089,221.94059089,924000000.0
34,233.859990597,233.859990597,233.859990597,233.859990597,233.859990597,952000000.0
35,268.953429579,268.953429579,268.953429579,268.953429579,268.953429579,980000000.0
36,315.433615418,315.433615418,315.433615418,315.433615418,315.433615418,1008000000.0
37,350.06453646,350.06453646,350.06453646,350.06453646,350.06453646,1036000000.0
38,418.784749054,418.784749054,418.784749054,418.784749054,418.784749054,1064000000.0
39,494.801240112,494.801240112,494.801240112,494.801240112,494.801240112,1092000000.0
40,613.386258774,613.386258774,613.386258774,613.386258774,613.386258774,1120000000.0
41,774.97188392,774.97188392,774.97188392,774.97188392,774.97188392,1148000000.0
42,738.051420213,738.051420213,738.051420213,738.051420213,738.051420213,1176000000.0
43,553.519868579,553.519868579,553.519868579,553.519868579,553.519868579,1204000000.0
44,456.570551813,456.570551813,456.570551813,456.570551813,456.570551813,1232000000.0
45,433.596517781,433.596517781,433.596517781,433.596517781,433.596517781,1260000000.0
