,maximum,mean,mean+sigma,mean-sigma,minimum,time
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,28000000.0
2,0.0,0.0,0.0,0.0,0.0,56000000.0
3,0.0,0.0,0.0,0.0,0.0,84000000.0
4,0.0,0.0,0.0,0.0,0.0,112000000.0
5,0.0,0.0,0.0,0.0,0.0,140000000.0
6,0.0,0.0,0.0,0.0,0.0,168000000.0
7,0.0,0.0,0.0,0.0,0.0,196000000.0
8,0.0,0.0,0.0,0.0,0.0,224000000.0
9,0.0,0.0,0.0,0.0,0.0,252000000.0
10,0.0,0.0,0.0,0.0,0.0,280000000.0
11,0.0,0.0,0.0,0.0,0.0,308000000.0
12,0.0,0.0,0.0,0.0,0.0,336000000.0
13,9858.68196132,9858.68196132,9858.68196132,9858.68196132,9858.68196132,364000000.0
14,20149.7637446,20149.7637446,20149.7637446,20149.7637446,20149.7637446,392000000.0
15,34495.9002353,34495.9002353,34495.9002353,34495.9002353,34495.9002353,420000000.0
16,34037.2033967,34037.2033967,34037.2033967,34037.2033967,34037.2033967,448000000.0
17,149895.050155,149895.050155,149895.050155,149895.050155,149895.050155,476000000.0
18,101061.6446,101061.6446,101061.6446,101061.6446,101061.6446,504000000.0
19,85013.4668394,85013.4668394,85013.4668394,85013.4668394,85013.4668394,532000000.0
20,192500.235649,192500.235649,192500.235649,192500.235649,192500.235649,560000000.0
21,254845.708377,254845.708377,254845.708377,254845.708377,254845.708377,588000000.0
22,229975.87419,229975.87419,229975.87419,229975.87419,229975.87419,616000000.0
23,206570.411641,206570.411641,206570.411641,206570.411641,206570.411641,644000000.0
24,290546.724596,290546.724596,290546.724596,290546.724596,290546.724596,672000000.0
25,422187.295158,422187.295158,422187.295158,422187.295158,422187.295158,700000000.0
26,311321.782039,311321.782039,311321.782039,311321.782039,311321.782039,728000000.0
27,395590.163539,395590.163539,395590.163539,395590.163539,395590.163539,756000000.0
28,1083085.85126,1083085.85126,1083085.85126,1083085.85126,1083085.85126,784000000.0
29,1080802.37336,1080802.37336,1080802.37336,1080802.37336,1080802.37336,812000000.0
30,709374.712896,709374.712896,709374.712896,709374.712896,709374.712896,840000000.0
31,459807.347035,459807.347035,459807.347035,459807.347035,459807.347035,868000000.0
32,534662.098431,534662.098431,534662.098431,534662.098431,534662.098431,896000000.0
33,688724.617935,688724.617935,688724.617935,688724.617935,688724.617935,924000000.0
34,939969.540257,939969.540257,939969.540257,939969.540257,939969.540257,952000000.0
35,976621.952334,976621.952334,976621.952334,976621.952334,976621.952334,980000000.0
36,1200386.11438,1200386.11438,1200386.11438,1200386.11438,1200386.11438,1008000000.0
37,1484174.84059,1484174.84059,1484174.84059,1484174.84059,1484174.84059,1036000000.0
38,1715786.74435,1715786.74435,1715786.74435,1715786.74435,1715786.74435,1064000000.0
39,2569207.92078,2569207.92078,2569207.92078,2569207.92078,2569207.92078,1092000000.0
40,2519519.35695,2519519.35695,2519519.35695,2519519.35695,2519519.35695,1120000000.0
41,1277891.67243,1277891.67243,1277891.67243,1277891.67243,1277891.67243,1148000000.0
42,666031.118026,666031.118026,666031.118026,666031.118026,666031.118026,1176000000.0
43,804826.291983,804826.291983,804826.291983,804826.291983,804826.291983,1204000000.0
44,844570.068882,844570.068882,844570.068882,844570.068882,844570.068882,1232000000.0
