,maximum,mean,mean+sigma,mean-sigma,minimum,time
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,28000000.0
2,0.0,0.0,0.0,0.0,0.0,56000000.0
3,0.0,0.0,0.0,0.0,0.0,84000000.0
4,0.0,0.0,0.0,0.0,0.0,112000000.0
5,0.0,0.0,0.0,0.0,0.0,140000000.0
6,0.0,0.0,0.0,0.0,0.0,168000000.0
7,0.0,0.0,0.0,0.0,0.0,196000000.0
8,0.0,0.0,0.0,0.0,0.0,224000000.0
9,0.0,0.0,0.0,0.0,0.0,252000000.0
10,0.0,0.0,0.0,0.0,0.0,280000000.0
11,0.0,0.0,0.0,0.0,0.0,308000000.0
12,0.0,0.0,0.0,0.0,0.0,336000000.0
13,0.0,0.0,0.0,0.0,0.0,364000000.0
14,5.73497659658e-08,2.15806599098e-08,3.16149920643e-08,1.15463277553e-08,2.36877097621e-09,392000000.0
15,1.5412796143e-07,6.09673541166e-08,8.80204525657e-08,3.39142556676e-08,7.39051510352e-09,420000000.0
16,2.59619943642e-07,1.07297544912e-07,1.5294159515e-07,6.16534946735e-08,1.41407764265e-08,448000000.0
17,7.08362532233e-07,2.86232980577e-07,4.10444425901e-07,1.62021535254e-07,3.65339656987e-08,476000000.0
18,1.03034738526e-06,4.41626852558e-07,6.22687227237e-07,2.6056647788e-07,6.26095937328e-08,504000000.0
19,1.39281862034e-06,6.32846880739e-07,8.65979367642e-07,3.99714393835e-07,1.01393092826e-07,532000000.0
20,2.08089860666e-06,1.001591962e-06,1.31096296241e-06,6.92220961589e-07,1.86084515337e-07,560000000.0
21,3.0150889298e-06,1.55851611539e-06,1.97203254955e-06,1.14499968123e-06,3.35887311934e-07,588000000.0
22,3.94066635275e-06,2.19384382799e-06,2.7376356829e-06,1.65005197309e-06,5.41595035804e-07,616000000.0
23,5.18497197852e-06,2.93027174281e-06,3.69258822048e-06,2.16795526514e-06,8.19540647211e-07,644000000.0
24,8.09648122116e-06,4.01682311115e-06,5.27487134843e-06,2.75877487388e-06,1.27007901521e-06,672000000.0
25,1.28311370223e-05,5.64944071276e-06,7.87572650859e-06,3.42315491694e-06,1.99697092212e-06,700000000.0
26,1.77217376004e-05,7.31659338339e-06,1.06128520135e-05,4.02033475324e-06,2.82385292939e-06,728000000.0
27,2.49372782589e-05,9.62787754818e-06,1.45979653198e-05,4.6577897766e-06,3.98277109089e-06,756000000.0
28,4.25613551765e-05,1.50164015898e-05,2.42261859179e-05,5.80661726165e-06,5.22964359567e-06,784000000.0
29,6.45421501894e-05,2.19709906015e-05,3.64597945795e-05,7.48218662353e-06,6.76870647451e-06,812000000.0
30,8.72137384062e-05,2.91675149271e-05,4.91946010146e-05,9.14042883957e-06,8.37030164099e-06,840000000.0
31,0.000109554221954,3.62864132237e-05,6.1820899156e-05,1.07519272914e-05,1.0007393048e-05,868000000.0
32,0.000137368345738,4.53001977789e-05,7.76879769758e-05,1.2912418582e-05,1.21031738436e-05,896000000.0
33,0.000172649477214,5.66843150694e-05,9.77017712713e-05,1.56668588675e-05,1.4691863566e-05,924000000.0
34,0.000219387350786,7.16834203136e-05,0.000124133219366,1.92336212616e-05,1.79328637204e-05,952000000.0
35,0.000272774494239,8.87350299634e-05,0.000154248091333,2.32219685941e-05,2.15545778919e-05,980000000.0
