,maximum,mean,mean+sigma,mean-sigma,minimum,time
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,28000000.0
2,0.0,0.0,0.0,0.0,0.0,56000000.0
3,0.0,0.0,0.0,0.0,0.0,84000000.0
4,0.0,0.0,0.0,0.0,0.0,112000000.0
5,0.0,0.0,0.0,0.0,0.0,140000000.0
6,0.0,0.0,0.0,0.0,0.0,168000000.0
7,0.0,0.0,0.0,0.0,0.0,196000000.0
8,0.0,0.0,0.0,0.0,0.0,224000000.0
9,0.0,0.0,0.0,0.0,0.0,252000000.0
10,0.0,0.0,0.0,0.0,0.0,280000000.0
11,0.0,0.0,0.0,0.0,0.0,308000000.0
12,0.0,0.0,0.0,0.0,0.0,336000000.0
13,0.0,0.0,0.0,0.0,0.0,364000000.0
14,0.000509529460501,0.000167414981139,0.000251200076033,8.36298862451e-05,1.5945460281e-05,392000000.0
15,0.00283332964545,0.000930942130099,0.0013968414264,0.000465042833793,8.86702582736e-05,420000000.0
16,0.00730337382555,0.00239965546763,0.00360058485257,0.00119872608269,0.000228564167816,448000000.0
17,0.0135260874539,0.00444425811428,0.00666842423039,0.00222009199816,0.000423310610866,476000000.0
18,0.0257201729497,0.0084508949827,0.0126801968851,0.00422159308033,0.000804950063504,504000000.0
19,0.0490190120808,0.0161061868614,0.0241665863392,0.00804578738366,0.001534132628,532000000.0
20,0.0694309871884,0.0228131430496,0.0342298358038,0.0113964502953,0.00217305349589,560000000.0
21,0.0953969413794,0.0313452072025,0.0470313244467,0.0156590899584,0.00298591540748,588000000.0
22,0.136096299256,0.0447183438277,0.0670963979534,0.022340289702,0.00425999187009,616000000.0
23,0.185566260949,0.060973379465,0.0914853163232,0.0304614426068,0.00580871038527,644000000.0
24,0.236088164688,0.0775744800637,0.116392663169,0.0387562969588,0.0073907183922,672000000.0
25,0.290742940449,0.095534037189,0.143337092565,0.047730981813,0.00910264137097,700000000.0
26,0.361983158462,0.118943149027,0.178458236033,0.0594280620201,0.0113338352557,728000000.0
27,0.445229453896,0.146297569484,0.219497635452,0.0730975035164,0.0139414620646,756000000.0
28,0.524608813214,0.17238341224,0.258626982092,0.0861398423885,0.0164308451791,784000000.0
29,0.647608599029,0.212802493931,0.319260218105,0.106344769756,0.0202870763452,812000000.0
30,0.848962984646,0.278967536617,0.418523313287,0.139411759948,0.0265964120323,840000000.0
31,1.05412716709,0.346385320207,0.519665888237,0.173104752177,0.0330255856838,868000000.0
32,1.22823436673,0.403600075683,0.605495576997,0.201704574368,0.0384847911723,896000000.0
33,1.38024005183,0.453554328485,0.68042667756,0.226681979409,0.0432546414093,924000000.0
34,1.53815806859,0.505451895318,0.75826673544,0.252637055195,0.048212754299,952000000.0
35,1.72040423933,0.565344208124,0.848098523623,0.282589892624,0.0539346279572,980000000.0
36,1.93172072132,0.634787162775,0.952251884734,0.317322440815,0.0605702475026,1008000000.0
37,2.16356734733,0.710974482521,1.06651407528,0.355434889764,0.0678538534186,1036000000.0
38,2.43960166674,0.801677735986,1.20254418765,0.400811284318,0.0765269126871,1064000000.0
39,2.75322820255,0.904709263704,1.35704694607,0.452371581334,0.0863872512201,1092000000.0
40,3.15207711856,1.03576055304,1.55355689159,0.517964214479,0.0989245503258,1120000000.0
41,3.68453750099,1.21078235697,1.81601370795,0.60555100599,0.115655851908,1148000000.0
