,maximum,mean,mean+sigma,mean-sigma,minimum,time
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,28000000.0
2,0.0,0.0,0.0,0.0,0.0,56000000.0
3,0.0,0.0,0.0,0.0,0.0,84000000.0
4,0.0,0.0,0.0,0.0,0.0,112000000.0
5,0.0,0.0,0.0,0.0,0.0,140000000.0
6,0.0,0.0,0.0,0.0,0.0,168000000.0
7,0.0,0.0,0.0,0.0,0.0,196000000.0
8,0.0,0.0,0.0,0.0,0.0,224000000.0
9,0.0,0.0,0.0,0.0,0.0,252000000.0
10,0.0,0.0,0.0,0.0,0.0,280000000.0
11,0.0,0.0,0.0,0.0,0.0,308000000.0
12,0.0,0.0,0.0,0.0,0.0,336000000.0
13,0.0,0.0,0.0,0.0,0.0,364000000.0
14,3.40210415183,1.30068358166,1.90844966535,0.692917497967,0.13729229666,392000000.0
15,15.5206917018,5.93383035076,8.70651148891,3.1611492126,0.626339263704,420000000.0
16,29.8591339067,11.4156661589,16.7498264512,6.0815058666,1.20496871565,448000000.0
17,41.6078679299,15.9074114927,23.3404146619,8.47440832352,1.67909020192,476000000.0
18,81.4796752139,31.1510968095,45.706966029,16.59522759,3.28812148071,504000000.0
19,155.706272999,59.5292159832,87.3452344012,31.7131975653,6.28354420397,532000000.0
20,136.721607383,52.2710481647,76.6955666883,27.8465296411,5.51741588236,560000000.0
21,174.061317605,66.5466687402,97.6417089277,35.4516285526,7.02426409871,588000000.0
22,272.566218227,104.206805301,152.899172026,55.5144385756,10.9994404705,616000000.0
23,331.373229637,126.689748448,185.887645111,67.4918517854,13.3726040469,644000000.0
24,339.464271659,129.783094521,190.426408697,69.1397803447,13.69911896,672000000.0
25,368.668145585,140.948243394,206.808659485,75.087827303,14.8776445853,700000000.0
26,478.365082174,182.88728994,268.344424582,97.4301552987,19.3044768305,728000000.0
27,561.382142111,214.626155665,314.913804349,114.338506981,22.654639645,756000000.0
28,549.447408957,210.063299629,308.218877776,111.907721483,22.1730121429,784000000.0
29,839.137047127,320.81668616,470.723630231,170.909742088,33.8634701559,812000000.0
30,1358.26946904,519.290039049,761.936965468,276.64311263,54.8131175785,840000000.0
31,1382.01875794,528.369805207,775.259403708,281.480206707,55.7715228098,868000000.0
32,1183.05598851,452.302878384,663.648937421,240.956819347,47.7423578148,896000000.0
33,1044.55659437,399.352151427,585.956100695,212.748202158,42.1531991475,924000000.0
34,1100.65488408,420.799503161,617.425085018,224.173921304,44.4170519542,952000000.0
35,1265.82107995,483.945412172,710.076972549,257.813851796,51.0823524124,980000000.0
36,1484.5786512,567.580235974,832.791561821,302.368910127,59.910338867,1008000000.0
37,1647.56802056,629.893906351,924.222333343,335.565479359,66.4877932455,1036000000.0
38,1970.99759666,753.546657909,1105.65389415,401.439421672,79.5398302584,1064000000.0
39,2328.76688392,890.328078226,1306.34871302,474.307443435,93.9776501868,1092000000.0
40,2886.88364273,1103.70582107,1619.43076285,587.980879295,116.500514921,1120000000.0
41,3647.38143913,1394.4573541,2046.04079601,742.873912185,147.190489246,1148000000.0
42,3473.61640733,1328.02396057,1948.56529203,707.482629117,140.178181795,1176000000.0
43,2605.12431061,995.984328455,1461.37460727,530.594049636,105.130085302,1204000000.0
44,2148.8353202,821.537112312,1205.41402165,437.660202972,86.7164916445,1232000000.0
