,maximum,mean,mean+sigma,mean-sigma,minimum,time
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,28000000.0
2,0.0,0.0,0.0,0.0,0.0,56000000.0
3,0.0,0.0,0.0,0.0,0.0,84000000.0
4,0.0,0.0,0.0,0.0,0.0,112000000.0
5,0.0,0.0,0.0,0.0,0.0,140000000.0
6,0.0,0.0,0.0,0.0,0.0,168000000.0
7,0.0,0.0,0.0,0.0,0.0,196000000.0
8,0.0,0.0,0.0,0.0,0.0,224000000.0
9,0.0,0.0,0.0,0.0,0.0,252000000.0
10,0.0,0.0,0.0,0.0,0.0,280000000.0
11,0.0,0.0,0.0,0.0,0.0,308000000.0
12,0.0,0.0,0.0,0.0,0.0,336000000.0
13,0.0,0.0,0.0,0.0,0.0,364000000.0
14,0.0,0.0,0.0,0.0,0.0,392000000.0
15,719659.224997,216125.290628,536136.456226,-103885.87497,5020.81703637,420000000.0
16,1075571.29341,323338.390703,802116.342229,-155439.560824,7503.8795047,448000000.0
17,1003566.91544,301841.212143,748796.405212,-145113.980926,6995.49959145,476000000.0
18,5165289.07225,1551627.8648,3849106.973,-745851.243403,36036.4423726,504000000.0
19,2513183.10683,757053.410108,1878141.02466,-364034.20444,17354.0299596,532000000.0
20,2539278.49922,763934.772012,1894045.75648,-366176.212458,18438.2196178,560000000.0
21,5840886.52892,1764310.40402,4371242.77925,-842621.971216,44359.1477417,588000000.0
22,7177044.51586,2163446.24278,5360603.92244,-1033711.43687,54365.6432748,616000000.0
23,5732262.1646,1731837.35797,4286069.22049,-822394.50455,46693.5094174,644000000.0
24,4886649.57973,1477459.95258,3651908.93998,-696989.034815,42767.8451529,672000000.0
25,6857103.27987,2074756.1693,5122172.18712,-972659.848526,64327.2148183,700000000.0
26,9452575.48477,2859510.01439,7054230.65578,-1335210.627,88875.3052689,728000000.0
27,6014275.73188,1821459.18906,4493183.58729,-850265.209173,56797.5211795,756000000.0
28,8600014.03405,2602640.62643,6415488.7876,-1210207.53474,84777.1971224,784000000.0
29,24085228.3691,7176164.26848,17687390.8889,-3335062.35191,232607.964005,812000000.0
30,19521734.5069,5956037.03949,14668747.8945,-2756673.81548,192676.747694,840000000.0
31,12489633.204,3785852.75949,9329932.99508,-1758227.4761,117103.221745,868000000.0
32,7515953.06109,2282487.10572,5614940.28917,-1049966.07773,74669.3386306,896000000.0
33,9202934.34885,2793945.23485,6867267.67009,-1279377.20038,95291.1704155,924000000.0
34,11735217.393,3561508.83392,8757222.75585,-1634205.08801,120987.440488,952000000.0
35,15749969.16,4616980.7376,11344492.5876,-2110531.1124,160344.605343,980000000.0
36,14696312.0567,4453767.32519,10936327.8842,-2028793.23383,152729.093582,1008000000.0
37,18486912.6235,5620093.54158,13800690.088,-2560503.00482,188352.055386,1036000000.0
38,21809601.6873,6393923.41905,15690140.0928,-2902293.2547,219706.999758,1064000000.0
39,23307629.7386,7107605.317,17434361.0578,-3219150.42386,252139.458804,1092000000.0
40,34639852.338,10076150.727,24685619.1835,-4533317.72951,392328.613812,1120000000.0
41,30132612.5603,9200402.19549,22561654.8366,-4160850.44563,324110.952337,1148000000.0
42,13626731.9481,4149404.90881,10192116.7869,-1893306.96931,142047.333434,1176000000.0
43,7048766.83639,2159069.04464,5287548.39254,-969410.303266,83404.9249658,1204000000.0
