,maximum,mean,mean+sigma,mean-sigma,minimum,time
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,28000000.0
2,0.0,0.0,0.0,0.0,0.0,56000000.0
3,0.0,0.0,0.0,0.0,0.0,84000000.0
4,0.0,0.0,0.0,0.0,0.0,112000000.0
5,0.0,0.0,0.0,0.0,0.0,140000000.0
6,0.0,0.0,0.0,0.0,0.0,168000000.0
7,0.0,0.0,0.0,0.0,0.0,196000000.0
8,0.0,0.0,0.0,0.0,0.0,224000000.0
9,0.0,0.0,0.0,0.0,0.0,252000000.0
10,0.0,0.0,0.0,0.0,0.0,280000000.0
11,0.0,0.0,0.0,0.0,0.0,308000000.0
12,0.0,0.0,0.0,0.0,0.0,336000000.0
13,43174.2001724,17723.3783079,25829.1022131,9617.65440265,1839.41549164,364000000.0
14,83834.0798754,35309.5806304,51147.6707039,19471.4905568,3807.92581792,392000000.0
15,130810.816556,57706.9581581,82675.3290483,32738.5872679,6674.66410963,420000000.0
16,124292.871007,55908.7405815,79740.103514,32077.3776489,6644.4014108,448000000.0
17,608224.75824,259342.866658,374556.880094,144128.853222,28516.099885,476000000.0
18,331300.806683,157859.078283,222277.128662,93441.0279042,20190.2385915,504000000.0
19,321100.83677,141852.818193,203262.981437,80442.6549499,16390.6419953,532000000.0
20,758666.708523,327870.921151,472398.68979,183343.152512,36782.5105031,560000000.0
21,953619.218035,423488.557189,605882.743668,241094.37071,49221.8776141,588000000.0
22,833328.604225,376037.476218,536299.194128,215775.758308,44872.2712076,616000000.0
23,757512.972884,339721.481819,485160.503031,194282.460607,40000.8708337,644000000.0
24,1114132.30415,487685.268835,701160.180763,274210.356907,55335.4715791,672000000.0
25,1601660.58485,706077.398208,1013910.99437,398243.802047,80611.4766027,700000000.0
26,1083424.53039,500504.977147,707540.149737,293469.804558,62156.8141984,728000000.0
27,1522326.41802,664983.454497,956334.869896,373632.039097,74945.9279439,756000000.0
28,4277121.18443,1842628.76711,2663886.74745,1021370.78676,201053.830995,784000000.0
29,3881918.22736,1761354.40675,2505050.79274,1017658.02077,212350.978885,812000000.0
30,2488926.18218,1146563.20478,1621820.58476,671305.824799,143219.378892,840000000.0
31,1639835.11467,749594.761575,1064015.75967,435173.763483,92386.0401411,868000000.0
32,2026859.25219,892309.501879,1280615.39436,504003.609395,101182.086258,896000000.0
33,2589769.56182,1145002.60533,1640572.60277,649432.607894,132062.900312,924000000.0
34,3550693.6581,1565595.0355,2247744.79885,883445.272153,179085.729531,952000000.0
35,3581312.04868,1607220.38945,2293225.57489,921215.204014,190874.193047,980000000.0
36,4535056.85388,2004460.40888,2874059.96898,1134860.84878,228321.249809,1008000000.0
37,5543495.68894,2458321.65818,3521758.68458,1394884.63177,285212.672236,1036000000.0
38,6399545.01939,2837870.1395,4059861.92304,1615878.35595,328378.207064,1064000000.0
39,9843973.6241,4297448.85049,6181419.21171,2413478.48927,485078.130385,1092000000.0
40,9149234.73444,4142283.55997,5898713.53024,2385853.5897,496146.846622,1120000000.0
41,4262855.78883,2030913.14543,2842034.06086,1219792.23,273033.934931,1148000000.0
42,2393157.71198,1091048.38175,1548801.84849,633294.915015,133705.56251,1176000000.0
43,3060628.9537,1342623.09247,1929100.34207,756145.842883,152249.868499,1204000000.0
44,3101951.84692,1391404.94997,1984891.84907,797918.050878,164756.174391,1232000000.0
