,maximum,mean,mean+sigma,mean-sigma,minimum,time
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,28000000.0
2,0.0,0.0,0.0,0.0,0.0,56000000.0
3,0.0,0.0,0.0,0.0,0.0,84000000.0
4,0.0,0.0,0.0,0.0,0.0,112000000.0
5,0.0,0.0,0.0,0.0,0.0,140000000.0
6,0.0,0.0,0.0,0.0,0.0,168000000.0
7,0.0,0.0,0.0,0.0,0.0,196000000.0
8,0.0,0.0,0.0,0.0,0.0,224000000.0
9,0.0,0.0,0.0,0.0,0.0,252000000.0
10,0.0,0.0,0.0,0.0,0.0,280000000.0
11,0.0,0.0,0.0,0.0,0.0,308000000.0
12,0.0,0.0,0.0,0.0,0.0,336000000.0
13,0.0,0.0,0.0,0.0,0.0,364000000.0
14,0.0,0.0,0.0,0.0,0.0,392000000.0
15,5002.48926465,5002.48926465,5002.48926465,5002.48926465,5002.48926465,420000000.0
16,7496.71872466,7496.71872466,7496.71872466,7496.71872466,7496.71872466,448000000.0
17,7004.05231414,7004.05231414,7004.05231414,7004.05231414,7004.05231414,476000000.0
18,35930.1541454,35930.1541454,35930.1541454,35930.1541454,35930.1541454,504000000.0
19,17612.0785207,17612.0785207,17612.0785207,17612.0785207,17612.0785207,532000000.0
20,18426.4513451,18426.4513451,18426.4513451,18426.4513451,18426.4513451,560000000.0
21,44265.826313,44265.826313,44265.826313,44265.826313,44265.826313,588000000.0
22,54338.7216283,54338.7216283,54338.7216283,54338.7216283,54338.7216283,616000000.0
23,46794.1878835,46794.1878835,46794.1878835,46794.1878835,46794.1878835,644000000.0
24,42805.6225504,42805.6225504,42805.6225504,42805.6225504,42805.6225504,672000000.0
25,64247.3494567,64247.3494567,64247.3494567,64247.3494567,64247.3494567,700000000.0
26,92263.5654357,92263.5654357,92263.5654357,92263.5654357,92263.5654357,728000000.0
27,59430.2890212,59430.2890212,59430.2890212,59430.2890211,59430.2890212,756000000.0
28,88133.4677648,88133.4677648,88133.4677648,88133.4677647,88133.4677648,784000000.0
29,251586.992757,251586.992757,251586.992757,251586.992757,251586.992757,812000000.0
30,217159.742547,217159.742548,217159.742548,217159.742547,217159.742547,840000000.0
31,137180.221276,137180.221276,137180.221276,137180.221276,137180.221276,868000000.0
32,87744.8098249,87744.8098249,87744.8098249,87744.8098249,87744.8098249,896000000.0
33,112197.117898,112197.117898,112197.117898,112197.117898,112197.117898,924000000.0
34,142500.704142,142500.704142,142500.704142,142500.704142,142500.704142,952000000.0
35,196860.443241,196860.443241,196860.443241,196860.443241,196860.443241,980000000.0
36,194695.217706,194695.217706,194695.217706,194695.217706,194695.217706,1008000000.0
37,241835.214764,241835.214764,241835.214764,241835.214764,241835.214764,1036000000.0
38,293660.002551,293660.002551,293660.002551,293660.002551,293660.002551,1064000000.0
39,337299.636286,337299.636286,337299.636286,337299.636286,337299.636286,1092000000.0
40,505859.895143,505859.895143,505859.895143,505859.895143,505859.895143,1120000000.0
41,438454.948282,438454.948282,438454.948282,438454.948282,438454.948282,1148000000.0
42,188668.114956,188668.114956,188668.114956,188668.114956,188668.114956,1176000000.0
43,108753.252895,108753.252895,108753.252895,108753.252895,108753.252895,1204000000.0
44,144082.626953,144082.626953,144082.626953,144082.626953,144082.626953,1232000000.0
45,142544.431136,142544.431136,142544.431136,142544.431136,142544.431136,1260000000.0
