,maximum,mean,mean+sigma,mean-sigma,minimum,time
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,28000000.0
2,0.0,0.0,0.0,0.0,0.0,56000000.0
3,0.0,0.0,0.0,0.0,0.0,84000000.0
4,0.0,0.0,0.0,0.0,0.0,112000000.0
5,0.0,0.0,0.0,0.0,0.0,140000000.0
6,0.0,0.0,0.0,0.0,0.0,168000000.0
7,0.0,0.0,0.0,0.0,0.0,196000000.0
8,0.0,0.0,0.0,0.0,0.0,224000000.0
9,0.0,0.0,0.0,0.0,0.0,252000000.0
10,0.0,0.0,0.0,0.0,0.0,280000000.0
11,0.0,0.0,0.0,0.0,0.0,308000000.0
12,0.0,0.0,0.0,0.0,0.0,336000000.0
13,0.0,0.0,0.0,0.0,0.0,364000000.0
14,5.54886189914e-08,2.14546073285e-08,3.16567285629e-08,1.1252486094e-08,3.08065671586e-09,392000000.0
15,1.48067844229e-07,6.06125568116e-08,8.80847637271e-08,3.31403498961e-08,9.48354403791e-09,420000000.0
16,2.47869259674e-07,1.06677340956e-07,1.52980460843e-07,6.03742210697e-08,1.79630306941e-08,448000000.0
17,6.78761060094e-07,2.84579303077e-07,4.10658053309e-07,1.58500552845e-07,4.65505510529e-08,476000000.0
18,9.78880165784e-07,4.39099860386e-07,6.22623467216e-07,2.55576253556e-07,7.88065479191e-08,504000000.0
19,1.32006800384e-06,6.29472629179e-07,8.65837906566e-07,3.93107351793e-07,1.27277455305e-07,532000000.0
20,1.97213502081e-06,9.97127198469e-07,1.3117094192e-06,6.82544977737e-07,2.35492948134e-07,560000000.0
21,2.86296386237e-06,1.5529262238e-06,1.97402884219e-06,1.1318236054e-06,4.25921675003e-07,588000000.0
22,3.76490890476e-06,2.18782838688e-06,2.74068580448e-06,1.63497096929e-06,6.86869106041e-07,616000000.0
23,5.42056934803e-06,2.92485732374e-06,3.69646522289e-06,2.15324942459e-06,1.03853111293e-06,644000000.0
24,8.46288914577e-06,4.01454888849e-06,5.28215187546e-06,2.74694590153e-06,1.61168343264e-06,672000000.0
25,1.34104804186e-05,5.65433298341e-06,7.8915981947e-06,3.41706777212e-06,2.5375035192e-06,700000000.0
26,1.85245429433e-05,7.32916982764e-06,1.0637736129e-05,4.02060352631e-06,3.28666874547e-06,728000000.0
27,2.60677453329e-05,9.65235367577e-06,1.46385486354e-05,4.66615871616e-06,3.97438260041e-06,756000000.0
28,4.44734543126e-05,1.50705614804e-05,2.43089970045e-05,5.83212595628e-06,5.1606735173e-06,784000000.0
29,6.74424944139e-05,2.20618260167e-05,3.65967020005e-05,7.52695003283e-06,6.66234255399e-06,812000000.0
30,9.11474358076e-05,2.92970386006e-05,4.93826398023e-05,9.21143739892e-06,8.22253584298e-06,840000000.0
31,0.00011451527913,3.64553181793e-05,6.20579299112e-05,1.08527064474e-05,9.8202907137e-06,868000000.0
32,0.000143602221639,4.55163352022e-05,7.79830385956e-05,1.30496318087e-05,1.18665081479e-05,896000000.0
33,0.000180494467647,5.69602513173e-05,9.80749952129e-05,1.58455074217e-05,1.4386114589e-05,924000000.0
34,0.000229356305635,7.20386382583e-05,0.000124614057653,1.94632188638e-05,1.75323228173e-05,952000000.0
35,0.000285176146392,8.91816654252e-05,0.000154854647312,2.35086835387e-05,2.10424283015e-05,980000000.0
