,maximum,mean,mean+sigma,mean-sigma,minimum,time
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,28000000.0
2,0.0,0.0,0.0,0.0,0.0,56000000.0
3,0.0,0.0,0.0,0.0,0.0,84000000.0
4,0.0,0.0,0.0,0.0,0.0,112000000.0
5,0.0,0.0,0.0,0.0,0.0,140000000.0
6,0.0,0.0,0.0,0.0,0.0,168000000.0
7,0.0,0.0,0.0,0.0,0.0,196000000.0
8,0.0,0.0,0.0,0.0,0.0,224000000.0
9,0.0,0.0,0.0,0.0,0.0,252000000.0
10,0.0,0.0,0.0,0.0,0.0,280000000.0
11,0.0,0.0,0.0,0.0,0.0,308000000.0
12,0.0,0.0,0.0,0.0,0.0,336000000.0
13,0.0,0.0,0.0,0.0,0.0,364000000.0
14,3.6791857008,1.15896577413,1.72620092328,0.591730624986,0.180021891508,392000000.0
15,16.7847615556,5.28730152591,7.87507705523,2.69952599658,0.821275349898,420000000.0
16,32.2909862853,10.1718562098,15.1502900022,5.19342241732,1.57999212393,448000000.0
17,44.9965861998,14.1741971184,21.1115053599,7.23688887692,2.20167483184,476000000.0
18,88.1157197353,27.7569852791,41.3421471847,14.1718233735,4.31148624407,504000000.0
19,168.387641171,53.0431265977,79.0041398548,27.0821133406,8.23917685472,532000000.0
20,147.856785221,46.5757826539,69.3714696448,23.780095663,7.23460578301,560000000.0
21,188.237597151,59.2959829277,88.3173453099,30.2746205454,9.2104316139,588000000.0
22,294.765147647,92.8528063846,138.297958134,47.4076546349,14.4228054101,616000000.0
23,358.361647292,112.886088865,168.136173798,57.6360039335,17.5345706458,644000000.0
24,367.111657516,115.642395069,172.241504965,59.0432851744,17.9627070649,672000000.0
25,398.694016716,125.591029456,187.0593212,64.1227377129,19.5080261936,700000000.0
26,517.325129259,162.960548248,242.718685161,83.2024113355,25.3126250936,728000000.0
27,607.10344474,191.241261255,284.840889278,97.6416332312,29.7054618471,756000000.0
28,594.19669715,187.17555761,278.785299423,95.565815798,29.0739370198,784000000.0
29,907.479867464,285.861653266,425.771546332,145.951760201,44.4028259327,812000000.0
30,1468.89259861,462.710063071,689.175259452,236.244866691,71.8726494201,840000000.0
31,1494.57612863,470.800530548,701.225462089,240.375599006,73.129339903,868000000.0
32,1279.40900158,403.021582635,600.273315722,205.769849549,62.6012512571,896000000.0
33,1129.62963924,355.840176547,529.999811042,181.680542051,55.272574123,924000000.0
34,1190.29680759,374.950701932,558.46364259,191.437761274,58.2410077078,952000000.0
35,1368.9148272,431.216459687,642.267673005,220.165246369,66.9807551311,980000000.0
36,1605.48892728,505.738733727,753.263546329,258.213921125,78.5562830989,1008000000.0
37,1781.75283055,561.262930576,835.963072066,286.562789087,87.1808440345,1036000000.0
38,2131.52386004,671.442922816,1000.06869846,342.817147174,104.295077304,1064000000.0
39,2518.43136995,793.321131259,1181.59802455,405.044237969,123.226391849,1092000000.0
40,3122.00348496,983.450002267,1464.78208399,502.11792054,152.759066371,1120000000.0
41,3944.43939318,1242.52229341,1850.65269221,634.391894609,193.000706745,1148000000.0
42,3756.5222126,1183.32724364,1762.48567999,604.168807286,183.805953056,1176000000.0
43,2817.29649789,887.465456263,1321.81961208,453.111300445,137.849808554,1204000000.0
44,2323.84542937,732.025381711,1090.30216248,373.748600946,113.705336938,1232000000.0
