,maximum,mean,mean+sigma,mean-sigma,minimum,time
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,28000000.0
2,0.0,0.0,0.0,0.0,0.0,56000000.0
3,0.0,0.0,0.0,0.0,0.0,84000000.0
4,0.0,0.0,0.0,0.0,0.0,112000000.0
5,0.0,0.0,0.0,0.0,0.0,140000000.0
6,0.0,0.0,0.0,0.0,0.0,168000000.0
7,0.0,0.0,0.0,0.0,0.0,196000000.0
8,0.0,0.0,0.0,0.0,0.0,224000000.0
9,0.0,0.0,0.0,0.0,0.0,252000000.0
10,0.0,0.0,0.0,0.0,0.0,280000000.0
11,0.0,0.0,0.0,0.0,0.0,308000000.0
12,0.0,0.0,0.0,0.0,0.0,336000000.0
13,0.0,0.0,0.0,0.0,0.0,364000000.0
14,0.0,0.0,0.0,0.0,0.0,392000000.0
15,719659.224997,219769.342601,541234.809226,-101696.124024,5020.8436204,420000000.0
16,1075571.29341,328794.762683,809755.746031,-152166.220664,7503.88987629,448000000.0
17,1003566.91544,306936.912639,755933.300173,-142059.474895,6995.19166704,476000000.0
18,5165289.07225,1577795.35926,3885724.44511,-730133.726589,36036.5965443,504000000.0
19,2513183.10683,769850.496709,1896083.4823,-356382.488881,17344.5178906,532000000.0
20,2539278.49922,776814.338555,1912078.85603,-358450.17892,18438.2367563,560000000.0
21,5840886.52892,1792696.24716,4409626.13884,-824233.644529,44359.283094,588000000.0
22,7177044.51586,2199781.39088,5411369.19429,-1011806.41253,54365.68225,616000000.0
23,5732262.1646,1760363.94047,4325430.14489,-804702.263944,46689.852562,644000000.0
24,4885964.17581,1506102.3404,3696279.01763,-684074.33683,42766.5145046,672000000.0
25,6857103.27987,2109276.19341,5170316.42813,-951764.041318,64327.3306751,700000000.0
26,9452575.48477,2906789.92088,7119919.5189,-1306339.67713,88879.3764345,728000000.0
27,6014275.73188,1851884.7502,4535791.04804,-832021.54764,56783.2584067,756000000.0
28,8600014.03405,2646085.80267,6476257.96851,-1184086.36317,84779.3915937,784000000.0
29,24086411.0535,7292184.32778,17845303.9046,-3260935.249,232591.463296,812000000.0
30,19521734.5069,6055131.65784,14807203.2205,-2696939.90479,192662.867402,840000000.0
31,12489633.204,3849100.81276,9418458.59417,-1720256.96866,117080.00881,868000000.0
32,7515953.06109,2320499.74304,5668142.47905,-1027142.99296,74659.988408,896000000.0
33,9202934.34885,2840280.53832,6932145.45691,-1251584.38028,95311.334324,924000000.0
34,11735217.393,3620797.79627,8840050.76232,-1598455.16978,116279.040227,952000000.0
35,15747658.6246,4713086.61112,11500811.7034,-2074638.48119,160335.764812,980000000.0
36,14879465.0703,4529126.08364,11043375.1308,-1985122.96351,152735.108208,1008000000.0
37,18486912.6235,5713198.44876,13930927.2706,-2504530.37313,188348.271683,1036000000.0
38,21803179.2869,6496837.42901,15830787.7077,-2837112.84966,219702.957636,1064000000.0
39,23307629.7386,7225175.72714,17598445.3488,-3148093.89447,252097.109737,1092000000.0
40,34638120.764,10297612.8418,25057541.9226,-4462316.23901,392322.67515,1120000000.0
41,30132612.5603,9357671.53817,22786514.6631,-4071171.58676,324108.767857,1148000000.0
42,13626731.9481,4217332.34391,10286184.8515,-1851520.16367,141987.423337,1176000000.0
43,7048766.83639,2192484.04741,5332168.00485,-947199.910028,83404.8637744,1204000000.0
