,maximum,mean,mean+sigma,mean-sigma,minimum,time
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,28000000.0
2,0.0,0.0,0.0,0.0,0.0,56000000.0
3,0.0,0.0,0.0,0.0,0.0,84000000.0
4,0.0,0.0,0.0,0.0,0.0,112000000.0
5,0.0,0.0,0.0,0.0,0.0,140000000.0
6,0.0,0.0,0.0,0.0,0.0,168000000.0
7,0.0,0.0,0.0,0.0,0.0,196000000.0
8,0.0,0.0,0.0,0.0,0.0,224000000.0
9,0.0,0.0,0.0,0.0,0.0,252000000.0
10,0.0,0.0,0.0,0.0,0.0,280000000.0
11,0.0,0.0,0.0,0.0,0.0,308000000.0
12,0.0,0.0,0.0,0.0,0.0,336000000.0
13,43659.9588766,17607.909944,25812.0573843,9403.76250371,2685.75007515,364000000.0
14,84627.2914725,35079.8216562,51101.6937875,19057.9495249,5529.97842853,392000000.0
15,131634.594781,57333.1692563,82567.7778134,32098.5606993,9596.75340879,420000000.0
16,124904.878156,55547.2725914,79623.3649654,31471.1802175,9517.85252996,448000000.0
17,613477.434264,257657.400018,374179.526246,141135.27379,41294.9609212,476000000.0
18,331531.777581,156843.883975,221848.908134,91838.8598155,28644.683052,504000000.0
19,323077.3722,140932.57554,202993.641455,78871.5096257,23559.7330798,532000000.0
20,764469.507199,325735.051904,471858.718542,179611.385267,53102.397592,560000000.0
21,959168.26256,420747.687581,605056.948531,236438.426631,70685.5487979,588000000.0
22,837191.83521,373599.716115,535492.443945,211706.988286,64233.6184782,616000000.0
23,761361.050256,337533.78757,484450.834174,190616.740966,57332.3319117,644000000.0
24,1121590.0901,484493.553574,700267.693398,268719.413751,79680.0442952,672000000.0
25,1612024.9113,701472.500616,1012561.62708,390383.374152,115980.216753,700000000.0
26,1086668.17086,497285.994727,706328.123854,288243.8656,88606.605565,728000000.0
27,1532808.12474,660679.617069,955211.18968,366148.044459,107983.845375,756000000.0
28,4311324.01212,1830604.07464,2660949.78289,1000258.36639,290727.511696,784000000.0
29,3898836.78274,1749912.92533,2501072.08229,998753.76837,303714.175157,812000000.0
30,2497094.58288,1139279.20941,1619280.65816,659277.76066,204258.171357,840000000.0
31,1646022.91831,744748.687471,1062262.41624,427234.958703,131057.156418,868000000.0
32,2039968.92663,886426.308805,1278807.92828,494044.689332,146470.548127,896000000.0
33,2598496.08916,1137728.27007,1638666.09626,636790.443888,189811.247989,924000000.0
34,3580855.19229,1555334.10353,2244405.23371,866262.973346,257643.851184,952000000.0
35,3599866.73265,1596843.592,2290173.1574,903514.026605,273564.927821,980000000.0
36,4564065.89421,1991317.62938,2870061.83092,1112573.42784,328426.366777,1008000000.0
37,5577035.55879,2442570.93798,3517154.34154,1367987.53442,409769.653401,1036000000.0
38,6436855.71935,2819368.26231,4054237.22561,1584499.29902,471623.29946,1064000000.0
39,9912186.5569,4269926.8546,6174291.23114,2365562.47806,698882.388993,1092000000.0
40,9192136.92974,4115325.72249,5890046.67668,2340604.7683,710174.766786,1120000000.0
41,4263066.28833,2017809.07063,2835988.44763,1199629.69364,386065.859744,1148000000.0
42,2402230.27789,1083937.75965,1546212.06185,621663.457448,191783.856042,1176000000.0
43,3081136.88143,1333765.88049,1926411.08132,741120.679659,218379.788205,1204000000.0
44,3117709.48772,1382624.60821,1982440.54847,782808.667962,236929.107749,1232000000.0
