HIP	HD	2MASS	Fe	Eu	EuII	
7599 	10180 	01375356-6030414 	0.05 	-0.06 		
57291 	102117 	11445043-5842134 	0.265 	0.38 		
57443 	102365 	11463107-4030013 	-0.31 	-0.11 		
7978 	10647 	01422932-5344271 	-0.03 	0.062 		
8102 	10700 	01440402-1556141 	-0.52 	-0.025 	0.075 	
60644 	108147 	12254627-6401195 	0.17 	0.349 		
64408 	114613 	13120320-3748110 	0.16 	-0.18 		
64459 	114729 	13124426-3152239 	-0.29 	-0.12 		
64457 	114783 	13124377-0215540 	0.095 	0.19 	0.51 	
64924 	115617 	13182443-1818387 	-0.02 	0.34 	0.17 	
65808 	117207 	13292114-3534154 	0.217 	0.19 		
66047 	117618 	13322555-4716168 	-2.498e-16 	-0.0115 		
68162 	121504 	13571724-5602242 	0.12 	0.214 	0.34 	
72339 	130322 	14473273-0016533 	0.033 	0.305 	0.185 	
74500 	134987 	15132869-2518335 	0.26 	0.255 	0.3 	
77740 	141937 	15521753-1826098 	0.1 	0.75 	0.275 	
1499 	1461 	00184182-0803105 	0.18 	0.505 	0.39 	
80337 	147513 	16240128-3911346 	0.04 	0.11 		
86796 	160691 		0.27 	0.075 		
12048 	16141 	02351994-0333376 	0.13 	0.49 	0.175 	
12186 	16417 	02365859-3434404 	0.1 	0.15 		
90004 	168746 	18214978-1155215 	-0.11 	0.39 	0.09 	
90485 	169830 	18274949-2949007 	0.16 	0.128 	0.28 	
12653 	17051 	02423346-5048008 	0.175 	0.0595 		
93858 	177565 	19065247-3748380 	0.065 	0.065 		
94645 	179949 	19153322-2410455 	0.196 	0.27 		
95467 	181433 	19250951-6628075 	0.38 	0.54 		
99825 	192310 	20151734-2701585 	0.02 	0.19 	0.24 	
101806 	196050 	20375169-6038041 	0.2125 	0.055 		
14954 	19994 		0.21 	0.441 	0.37 	
104903 	202206 		0.3 	0.74 	0.71 	
106006 	204313 	21281220-2143340 	0.16 	0.11 	0.07 	
15527 	20782 		-0.058 	-0.04 		
15510 	20794 	03195563-4304112 	-0.39 	-0.1 		
108375 	208487 	21571986-3745489 	0.05 	0.106 		
108859 	209458 	22031077+1853036 	0.01 	0.0355 	0.155 	
109378 	210277 		0.21 	0.585 	0.49 	
110852 	212301 	22273094-7743044 	0.15 	0.205 		
111143 	213240 	22310039-4925597 	0.135 	0.1405 		
113044 	216435 	22533792-4835539 	0.21 	0.156 		
113238 	216770 	22555369-2639313 	0.23 	0.79 	0.9 	
114699 	219077 	23140661-6242002 	-0.16 	-0.17 		
16537 	22049 	03325591-0927298 	-0.09 	0.09 	0.25 	
116084 	221287 	23312032-5812350 	0.01 	0.027 		
116906 	222582 	23415154-0559086 	0.004 	0.03 	0.23 	
17096 	23079 	03394311-5254570 	-0.145 	-0.1885 		
2350 	2638 		0.09 	0.25 		
20723 	28185 	04262631-1033028 	0.21 	0.46 	0.45 	
26394 	39091 	05370988-8028090 	0.06 	-0.0405 		
